date,open,close,high,low,volume,amount
2026-04-17,3.03,3.01,3.04,2.98,273967.0,82464067.0
2026-04-20,3.01,2.99,3.03,2.97,306901.0,91763399.0
2026-04-21,2.97,2.9,2.99,2.88,384204.0,111419160.0
2026-04-22,2.87,3.01,3.01,2.8,625955.0,188412455.0
2026-04-23,3.02,2.94,3.04,2.87,373858.0,109914252.0
2026-04-24,2.93,2.97,3.04,2.89,343367.0,101979999.0
2026-04-27,2.96,3.05,3.06,2.9,396549.0,120947445.0
2026-04-28,3.03,2.97,3.07,2.94,298765.0,88733205.0
2026-04-29,2.95,3.0,3.05,2.94,269025.0,80707500.0
2026-04-30,3.04,3.18,3.22,3.01,716875.0,227966250.0
2026-05-06,3.21,3.26,3.38,3.18,662727.0,216049002.0
2026-05-07,3.26,3.28,3.34,3.23,472386.0,154942607.99999997
2026-05-08,3.27,3.34,3.37,3.19,500776.0,167259184.0
2026-05-11,3.39,3.32,3.4,3.27,404932.0,134437424.0
2026-05-12,3.31,3.22,3.33,3.22,373744.0,120345568.0
2026-05-13,3.23,3.27,3.32,3.21,326038.0,106614426.0
2026-05-14,3.29,3.12,3.3,3.1,499699.0,155906088.0
2026-05-15,3.13,3.12,3.2,3.07,407025.0,126991800.0
2026-05-18,3.13,3.1,3.18,3.05,332345.0,103026950.0
2026-05-19,3.1,3.06,3.1,3.01,263731.0,80701686.0
2026-05-20,3.05,3.0,3.05,2.96,390764.0,117229200.0
2026-05-21,3.0,2.87,3.02,2.84,565694.0,162354178.0
2026-05-22,2.87,2.98,3.0,2.84,371983.0,110850934.0
2026-05-25,3.0,2.91,3.02,2.89,397847.0,115773477.0
2026-05-26,2.91,2.92,2.94,2.81,360962.0,105400904.0
2026-05-27,2.9,2.8,2.91,2.76,376227.0,105343560.0
2026-05-28,2.83,2.83,2.84,2.75,247443.0,70026369.0
2026-05-29,2.84,2.75,2.89,2.71,371511.0,102165525.0
2026-06-01,2.75,2.77,2.81,2.72,288346.0,79871842.0
2026-06-02,2.78,2.74,2.79,2.67,306810.0,84065940.0
2026-06-03,2.72,2.7,2.73,2.65,291868.0,78804360.00000001
2026-06-04,2.68,2.66,2.81,2.63,303671.0,80776486.0
2026-06-05,2.66,2.67,2.73,2.64,355411.0,94894737.0
2026-06-08,2.56,2.56,2.66,2.48,344864.0,88285184.0
2026-06-09,2.57,2.54,2.6,2.51,259023.0,65791842.00000001
2026-06-10,2.51,2.46,2.55,2.42,319992.0,78718032.0
2026-06-11,2.45,2.4,2.45,2.36,302367.0,72568080.0
2026-06-12,2.45,2.42,2.47,2.38,266662.0,64532204.0
2026-06-15,2.45,2.66,2.66,2.45,164470.0,43749020.0
2026-06-16,2.7,2.56,2.77,2.54,666726.0,170681856.0
2026-06-17,2.54,2.49,2.56,2.46,399479.0,99470271.0
2026-06-18,2.5,2.47,2.53,2.44,289248.0,71444256.0
2026-06-22,2.46,2.43,2.49,2.35,386496.0,93918528.0
2026-06-23,2.43,2.67,2.67,2.42,384497.0,102660699.0
2026-06-24,2.6,2.56,2.62,2.47,701788.0,179657728.0
2026-06-25,2.52,2.64,2.75,2.49,736255.0,194371320.00000003
2026-06-26,2.66,2.48,2.68,2.48,541477.0,134286296.0
2026-06-29,2.46,2.49,2.63,2.4,402174.0,100141326.0
2026-06-30,2.48,2.52,2.54,2.42,369906.0,93216312.0
2026-07-01,2.52,2.59,2.62,2.52,432489.0,112014651.0
2026-07-02,2.55,2.5,2.65,2.49,390884.0,97721000.0
2026-07-03,2.51,2.58,2.67,2.49,429970.0,110932260.0
2026-07-06,2.59,2.47,2.6,2.46,380214.0,93912858.0
2026-07-07,2.47,2.42,2.51,2.4,300572.0,72738424.0
2026-07-08,2.42,2.31,2.42,2.31,313792.0,72485952.0
2026-07-09,2.31,2.42,2.46,2.3,380573.0,92098666.0
2026-07-10,2.4,2.46,2.5,2.35,390217.0,95993382.0
2026-07-13,2.48,2.39,2.48,2.26,488367.0,116719713.0
2026-07-14,2.35,2.39,2.41,2.28,320273.0,76545247.00000001
2026-07-15,2.36,2.4,2.55,2.35,461134.0,110672160.0
2026-07-16,2.4,2.39,2.46,2.35,296214.0,70795146.00000001
2026-07-17,2.39,2.32,2.43,2.27,341310.0,79183920.0
2026-07-20,2.32,2.24,2.37,2.21,294853.0,66047072.00000001
2026-07-21,2.26,2.23,2.27,2.13,295835.0,65971205.00000001
2026-07-22,2.23,2.19,2.25,2.18,180706.0,39574614.0
